"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Wood, James","695578","2026","535","288",0.265,0.275,-0.010000000000000009,0.535,0.585,-0.04999999999999993,0.395,0.419,-0.023999999999999966
"Bregman, Alex","608324","2026","532","382",0.249,0.241,0.008000000000000007,0.381,0.356,0.025000000000000022,0.32,0.308,0.01200000000000001
"Henderson, Gunnar","683002","2026","531","354",0.213,0.233,-0.020000000000000018,0.384,0.383,0.0010000000000000009,0.298,0.307,-0.009000000000000008
"Busch, Michael","683737","2026","531","335",0.248,0.237,0.01100000000000001,0.395,0.408,-0.012999999999999956,0.337,0.336,0.0010000000000000009
"Ward, Taylor","621493","2026","529","328",0.242,0.248,-0.006000000000000005,0.342,0.377,-0.034999999999999976,0.329,0.342,-0.013000000000000012
"Crow-Armstrong, Pete","691718","2026","527","310",0.286,0.256,0.02999999999999997,0.544,0.472,0.07200000000000006,0.398,0.365,0.03300000000000003
"Reynolds, Bryan","668804","2026","522","315",0.268,0.247,0.02100000000000002,0.443,0.431,0.01200000000000001,0.362,0.351,0.01100000000000001
"Herrera, Iván","671056","2026","521","352",0.25,0.249,0.0010000000000000009,0.391,0.376,0.015000000000000013,0.336,0.331,0.0050000000000000044
"Tatis Jr., Fernando","665487","2026","518","366",0.283,0.286,-0.0030000000000000027,0.417,0.456,-0.039000000000000035,0.337,0.36,-0.022999999999999965
"Olson, Matt","621566","2026","516","332",0.266,0.249,0.017000000000000015,0.552,0.52,0.03200000000000003,0.38,0.362,0.018000000000000016
"Alvarez, Yordan","670541","2026","516","339",0.322,0.332,-0.010000000000000009,0.626,0.689,-0.06299999999999994,0.44,0.465,-0.025000000000000022
"Turner, Trea","607208","2026","516","371",0.248,0.251,-0.0030000000000000027,0.4,0.378,0.02200000000000002,0.304,0.299,0.0050000000000000044
"McGonigle, Kevin","805808","2026","515","369",0.286,0.261,0.024999999999999967,0.428,0.423,0.0050000000000000044,0.364,0.351,0.013000000000000012
